Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Class
AS,613,LAS,SEA,6,1240,154,0
FL,133,ATL,TPA,7,525,84,1
XE,2453,IAH,BRO,1,550,74,0
WN,968,SMF,BUR,7,1240,70,1
FL,962,BOS,CAK,3,1220,105,0
MQ,3248,GRK,DFW,3,995,50,1
EV,5127,FAY,ATL,4,635,89,0
UA,85,DEN,LAX,6,947,153,1
WN,539,FLL,MDW,4,1035,195,1
DL,2294,ATL,PHL,5,820,129,0
AA,620,DFW,SAT,7,855,65,0
DL,2575,ATL,MEM,5,555,99,0
US,632,BUR,PHX,3,410,87,0
AA,1822,DFW,DAY,7,875,130,0
WN,2357,BOS,PHL,4,1040,105,0
FL,305,DEN,ATL,6,745,165,1
DL,1127,ATL,PBI,6,900,110,1
US,367,DCA,PHX,7,630,309,0
AA,2473,DFW,LAX,1,1120,200,0
WN,460,HOU,JAN,4,515,65,1
MQ,3061,LAX,SAN,4,945,45,0
MQ,3999,FAR,ORD,2,1000,130,1
AA,677,DFW,PDX,3,1020,255,0
MQ,4246,IND,ORD,6,1050,75,1
US,1177,LGA,CLT,2,605,132,0
AA,578,DFW,SAT,4,895,65,1
DL,1476,PBI,DTW,4,942,178,0
YV,2741,LAS,LAX,4,690,68,0
DL,2769,ATL,MCO,5,1025,91,1
AA,552,SFO,MIA,2,360,315,1
OO,4505,SLC,FAR,6,1203,131,1
US,623,PHX,OAK,3,1080,119,0
UA,576,SEA,DEN,4,345,159,0
MQ,3163,LAX,SJC,4,920,80,0
US,1252,JAX,DCA,6,450,103,0
OH,6447,CVG,HTS,7,1250,52,0
UA,72,HNL,SFO,4,471,322,0
WN,235,TUL,DEN,2,1150,110,1
B6,1051,JFK,PIT,2,490,97,0
DL,2903,CVG,MCO,5,675,130,0
AA,1700,IAH,MIA,1,620,140,0
XE,2974,IAH,MCI,4,630,113,0
WN,24,DAL,BHM,3,800,90,1
AS,660,SEA,DFW,5,420,230,1
UA,857,LAX,SFO,5,547,96,0
WN,553,SAN,MDW,3,595,235,1
WN,1609,SAN,LAS,2,1070,70,0
XE,5933,LEX,ORD,4,949,89,1
DL,1940,SFO,JFK,7,690,340,1
EV,5450,ATL,MGM,5,840,57,0
UA,617,ORD,SNA,4,939,275,0
WN,741,SFO,DEN,2,575,150,1
XE,2105,GRR,CLE,4,1003,57,0
WN,687,LAS,SJC,1,1105,80,0
XE,2812,AMA,IAH,7,813,95,0
AA,593,STL,ORD,3,840,75,0
WN,364,PHL,PIT,6,715,75,0
WN,782,MDW,IAD,1,840,110,1
OO,4488,LSE,MSP,3,410,60,0
DL,2923,MSP,MCO,7,420,198,0
CO,1033,LGA,IAH,3,630,245,1
FL,61,ATL,LAX,6,1330,320,1
DL,1127,ATL,PBI,4,900,111,0
WN,1006,ELP,AUS,3,735,85,0
WN,1072,DAL,AUS,7,1220,55,1
OO,6641,GJT,DEN,7,1193,54,1
MQ,4047,ORD,RIC,2,970,115,0
OO,6982,CPR,DEN,4,579,59,0
OO,7780,SUN,SLC,4,410,64,0
XE,2505,CLE,RIC,3,925,74,1
YV,2824,MRY,PHX,7,745,106,0
AS,129,SEA,FAI,1,1150,235,1
XE,5935,GRB,ORD,3,557,60,0
AA,372,SJU,TPA,6,1245,180,0
EV,5523,ATL,ROA,5,510,90,0
WN,2780,MDW,HOU,6,500,175,1
AA,815,AUS,DFW,6,785,65,0
OO,4582,SJC,SLC,7,370,118,0
