Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Class
0.482177,0.302697,0.062144,0.494641,0.439452,0.833798,0.964841,0.61592,0.386803,0.673167,0
0.38627,0.633607,0.244448,0.0361,0.328937,0.966701,0.409149,0.590729,0.34264,0.755501,0
0.212352,0.968482,0.472725,0.710917,0.985992,0.632401,0.011855,0.869461,0.894829,0.007716,1
0.618725,0.313935,0.510495,0.42963,0.889983,0.005903,0.339879,0.734603,0.610969,0.045891,1
0.928672,0.904219,0.588954,0.95145,0.334345,0.992932,0.159129,0.660427,0.485229,0.870511,1
0.584133,0.711945,0.455035,0.856451,0.254099,0.734013,0.646157,0.91451,0.952083,0.647624,1
0.024132,0.218322,0.606453,0.932228,0.369688,0.330774,0.181144,0.124181,0.713361,0.668456,0
0.67888,0.818859,0.583919,0.346836,0.362974,0.180329,0.653056,0.545729,0.205098,0.291624,0
0.532706,0.61086,0.270141,0.259261,0.913124,0.53675,0.509849,0.118697,0.936288,0.813332,1
0.665978,0.097657,0.716876,0.806325,0.522008,0.839885,0.928617,0.884606,0.086301,0.69086,1
0.443884,0.725811,0.677877,0.281759,0.765635,0.790551,0.139325,0.829173,0.995124,0.418924,1
0.119441,0.219242,0.651352,0.370681,0.165221,0.692895,0.457696,0.634338,0.994463,0.28797,0
0.237033,0.14618,0.911709,0.818638,0.279492,0.858777,0.595479,0.050556,0.623481,0.856737,1
0.520365,0.653886,0.993982,0.121507,0.137998,0.319414,0.396043,0.454955,0.831234,0.269557,0
0.601883,0.786955,0.000204,0.10298,0.355399,0.329103,0.796281,0.57818,0.588762,0.727312,0
0.784902,0.870667,0.629599,0.907622,0.665699,0.456239,0.743171,0.142082,0.95377,0.597849,1
0.700282,0.586901,0.886481,0.231529,0.468015,0.323576,0.382222,0.120353,0.909408,0.063738,1
0.814255,0.307275,0.072954,0.199479,0.722553,0.392522,0.036277,0.516094,0.694746,0.191002,0
0.450123,0.649934,0.604715,0.064811,0.175962,0.700683,0.71392,0.961573,0.076191,0.677637,1
0.60069,0.718074,0.204294,0.023298,0.6858,0.160458,0.245837,0.845904,0.504772,0.436526,0
0.199582,0.403699,0.918286,0.727018,0.130651,0.442395,0.410196,0.361472,0.126326,0.111806,0
0.893016,0.607781,0.033782,0.336962,0.627696,0.69712,0.634924,0.209788,0.648233,0.628662,1
0.129707,0.162437,0.457133,0.354511,0.213788,0.345435,0.778886,0.904904,0.059256,0.475542,1
0.733498,0.626664,0.250538,0.526736,0.457363,0.479404,0.78925,0.906362,0.391476,0.157688,1
0.644191,0.360373,0.419197,0.46035,0.505725,0.734133,0.313958,0.9267,0.373102,0.728262,1
0.811078,0.502622,0.390867,0.625093,0.142322,0.559202,0.11551,0.505808,0.810183,0.871397,1
0.541821,0.989942,0.226606,0.564558,0.012077,0.295552,0.18328,0.846743,0.168602,0.635945,0
0.440293,0.074689,0.679807,0.024724,0.104138,0.24046,0.296038,0.555417,0.180133,0.797752,0
0.63164,0.686994,0.004177,0.60232,0.697492,0.33859,0.195265,0.064784,0.087149,0.466625,0
0.650579,0.577148,0.555249,0.838507,0.454533,0.680545,0.853942,0.301949,0.544243,0.731065,1
0.651936,0.87572,0.2751,0.003605,0.433161,0.501376,0.540378,0.699754,0.392729,0.501044,0
0.857588,0.605924,0.841127,0.122981,0.299614,0.599142,0.672673,0.090697,0.532064,0.207074,0
0.447587,0.263955,0.042837,0.348016,0.045454,0.801527,0.882596,0.306646,0.392175,0.019775,0
0.559713,0.328861,0.684035,0.233695,0.844702,0.719491,0.997147,0.668701,0.081255,0.336866,1
0.69847,0.281543,0.192264,0.670374,0.140803,0.739639,0.400832,0.078983,0.529357,0.667893,0
0.553793,0.92497,0.066462,0.951674,0.356674,0.026488,0.761589,0.325496,0.031137,0.344548,0
0.474088,0.218862,0.437132,0.029588,0.707289,0.147362,0.722299,0.43169,0.348544,0.993402,0
0.060697,0.948099,0.74184,0.344871,0.232406,0.928681,0.605819,0.314119,0.955398,0.514517,1
0.21249,0.459949,0.451782,0.98188,0.383815,0.509201,0.467039,0.165129,0.859015,0.679147,1
0.582555,0.097639,0.255919,0.787622,0.950822,0.777535,0.391976,0.019768,0.32527,0.453724,0
0.628192,0.347006,0.236647,0.417108,0.517748,0.395348,0.250327,0.215242,0.952777,0.134433,0
0.13915,0.579805,0.701567,0.132175,0.693528,0.295907,0.574955,0.892267,0.568978,0.011828,0
0.584145,0.564615,0.609942,0.543679,0.772722,0.406573,0.429366,0.798098,0.53242,0.948742,1
0.033745,0.991517,0.547768,0.733954,0.968782,0.463289,0.241263,0.787052,0.662627,0.073887,1
0.203757,0.118682,0.21974,0.034765,0.718085,0.05887,0.891394,0.23262,0.04619,0.424204,0
0.432362,0.135597,0.258165,0.197384,0.900749,0.510175,0.763448,0.420219,0.068572,0.489466,0
0.834374,0.804775,0.905674,0.789873,0.945324,0.404176,0.567619,0.967438,0.64854,0.356203,1
0.681301,0.858418,0.111473,0.200233,0.608037,0.396443,0.743698,0.535797,0.568187,0.16867,0
0.834114,0.73294,0.17917,0.906557,0.276576,0.895057,0.72396,0.113476,0.199913,0.204936,0
0.483358,0.413777,0.219013,0.236421,0.6213,0.544832,0.585252,0.803961,0.427156,0.446684,0
